구분,,2008,,,2009,,,2010,,,2011,,,2012,,,2013,,,2014,,,2015,,,2016,,,2017,,,2018,,,2019,,,2020,,,2021,,,2022,,,2023,,,2024,,
,,N,조율,표준화율,N,조율,표준화율,N,조율,표준화율,N,조율,표준화율,N,조율,표준화율,N,조율,표준화율,N,조율,표준화율,N,조율,표준화율,N,조율,표준화율,N,조율,표준화율,N,조율,표준화율,N,조율,표준화율,N,조율,표준화율,N,조율,표준화율,N,조율,표준화율,N,조율,표준화율,N,조율,표준화율
서울,강남구,674,13.0(1.6),14.5(1.2),703,14.3(1.4),15.1(1.2),714,15.1(1.6),15.9(1.5),768,17.2(1.2),18.0(1.2),743,17.2(1.4),17.9(1.2),761,19.4(1.5),19.3(1.3),737,17.8(1.6),17.0(1.3),752,16.6(1.7),16.1(1.3),760,21.5(1.6),19.9(1.3),728,20.5(1.3),18.9(1.2),769,19.3(1.5),16.9(1.2),762,19.7(1.6),17.4(1.2),749,19.9(1.5),17.3(1.2),771,16.4(1.5),13.1(1.1),782,22.7(1.4),19.0(1.3),813,23.9(1.7),19.4(1.2),794,21.5(1.5),17.9(1.2)
서울,강동구,699,17.7(1.4),18.1(1.5),744,19.2(1.4),19.4(1.3),766,18.4(1.0),18.5(1.3),751,18.2(1.7),17.8(1.3),779,18.9(1.5),18.7(1.3),764,20.4(1.5),18.7(1.3),769,22.8(1.6),20.9(1.3),764,23.6(1.6),20.9(1.3),788,22.3(1.5),19.6(1.2),763,22.8(1.8),19.9(1.4),806,22.0(1.5),17.9(1.2),779,22.6(1.3),18.4(1.2),781,25.0(1.6),19.5(1.2),781,21.7(1.7),16.8(1.2),799,24.2(1.5),18.5(1.2),785,26.7(1.7),19.8(1.3),815,28.2(1.7),21.6(1.3)
서울,강북구,780,19.6(1.5),18.2(1.2),794,21.3(1.6),19.7(1.3),780,21.1(1.4),18.7(1.2),792,26.4(1.8),23.5(1.3),804,23.1(1.7),20.5(1.3),787,25.8(1.6),21.8(1.3),823,25.2(1.5),20.4(1.1),801,26.5(1.4),20.8(1.3),790,28.0(1.6),22.4(1.3),802,31.1(1.8),24.4(1.4),799,27.6(1.7),20.1(1.3),804,30.0(2.0),21.9(1.6),791,30.5(1.8),22.6(1.4),783,27.8(1.7),19.9(1.4),792,34.1(1.7),24.2(1.5),790,30.1(1.6),19.9(1.2),816,35.8(1.7),24.7(1.6)
서울,강서구,765,15.5(1.5),16.2(1.1),763,15.5(1.3),15.8(1.1),733,21.3(1.5),21.6(1.3),773,18.7(1.7),18.4(1.2),768,19.4(1.8),18.5(1.2),791,19.2(1.8),17.6(1.2),761,21.0(1.6),19.1(1.3),754,20.2(1.6),18.4(1.3),778,20.9(1.5),18.2(1.2),780,20.4(1.5),17.8(1.1),782,22.0(1.8),18.4(1.0),771,22.3(1.5),18.2(1.1),781,22.2(1.8),18.0(1.2),761,23.5(1.6),18.4(1.3),792,24.2(1.6),19.4(1.2),810,24.7(1.8),20.2(1.3),792,24.0(1.8),18.4(1.3)
서울,관악구,653,15.3(1.0),15.8(0.9),680,18.5(1.4),18.9(1.4),712,19.9(1.7),19.6(1.5),777,19.6(1.6),18.7(1.2),762,20.4(1.2),19.7(1.3),753,19.5(1.5),18.5(1.2),766,20.2(1.5),18.0(1.1),758,19.7(1.4),17.8(1.1),705,20.7(1.6),18.6(1.3),739,24.2(1.6),20.6(1.3),743,23.2(1.8),19.2(1.3),746,24.8(1.4),20.1(1.3),699,24.7(1.7),18.8(1.2),738,23.9(1.7),18.4(1.2),723,28.9(1.5),23.6(1.3),760,23.2(1.6),19.5(1.5),766,27.8(1.5),22.2(1.3)
서울,광진구,654,13.8(1.6),14.8(1.3),720,20.3(1.7),20.9(1.4),728,18.0(1.2),18.5(1.2),726,21.0(1.7),20.7(1.3),737,20.6(1.6),20.4(1.2),744,19.3(1.5),18.6(1.2),747,21.3(1.4),19.9(1.1),735,21.4(1.8),19.7(1.3),774,21.0(1.3),18.7(1.3),758,21.1(1.6),18.2(1.2),750,21.5(1.8),18.7(1.3),760,22.6(1.7),19.4(1.2),740,23.2(1.6),18.7(1.3),736,23.8(1.6),18.7(1.1),780,25.7(1.6),20.6(1.3),756,27.3(1.6),22.5(1.3),771,24.2(1.6),18.8(1.3)
서울,구로구,745,18.7(1.7),19.4(1.5),752,20.1(1.4),20.3(1.4),754,19.4(1.6),19.3(1.3),783,20.7(1.5),19.8(1.4),781,21.2(1.6),20.1(1.3),767,23.5(1.7),21.7(1.3),787,23.5(1.3),21.1(1.3),765,22.8(1.8),20.4(1.2),778,24.2(1.6),20.3(1.2),792,23.8(1.8),19.7(1.4),777,23.8(1.9),18.6(1.3),790,25.6(1.7),19.2(1.3),777,23.9(1.7),18.8(1.2),801,27.1(1.6),20.7(1.4),791,30.3(1.8),22.6(1.3),808,25.4(1.2),19.4(1.2),828,29.2(1.8),22.4(1.5)
서울,금천구,825,16.7(1.6),16.7(1.2),742,18.5(1.5),18.1(1.3),766,19.6(1.5),19.1(1.2),769,18.9(1.4),17.4(1.2),771,21.8(1.6),19.8(1.2),781,23.5(1.8),20.7(1.2),799,24.5(1.7),21.1(1.3),767,23.7(1.9),20.6(1.3),772,25.3(1.8),20.8(1.3),775,23.1(1.6),19.1(1.2),784,23.5(1.5),18.2(1.2),766,26.0(2.0),20.3(1.3),769,28.1(1.6),21.2(1.3),783,30.3(1.9),24.6(1.6),789,28.5(1.9),22.0(1.5),788,30.1(1.7),21.9(1.4),804,31.2(1.9),23.8(1.7)
서울,노원구,691,18.0(1.6),18.0(1.2),727,22.1(1.9),22.3(1.5),782,20.0(1.4),19.6(1.3),790,21.6(1.5),20.9(1.3),781,22.7(1.8),21.2(1.4),787,22.5(1.5),20.5(1.2),779,21.5(1.7),18.1(1.2),774,21.4(1.5),18.3(1.3),766,22.0(1.6),18.7(1.3),781,26.5(1.9),21.6(1.2),791,25.7(1.7),19.9(1.2),806,27.1(1.5),20.1(1.2),790,27.9(2.0),20.8(1.2),798,26.5(1.7),20.5(1.4),796,26.0(1.9),19.2(1.3),803,29.4(1.8),21.0(1.3),776,28.9(1.7),20.6(1.3)
