구분,,2008,,,2009,,,2010,,,2011,,,2012,,,2013,,,2014,,,2015,,,2016,,,2017,,,2018,,,2019,,,2020,,,2021,,,2022,,,2023,,,2024,,
,,N,조율,표준화율,N,조율,표준화율,N,조율,표준화율,N,조율,표준화율,N,조율,표준화율,N,조율,표준화율,N,조율,표준화율,N,조율,표준화율,N,조율,표준화율,N,조율,표준화율,N,조율,표준화율,N,조율,표준화율,N,조율,표준화율,N,조율,표준화율,N,조율,표준화율,N,조율,표준화율,N,조율,표준화율
서울,강남구,851,5.2(0.7),5.4(0.8),919,4.2(0.6),4.2(0.6),921,5.8(0.7),6.2(0.9),935,4.0(0.7),4.0(0.6),928,5.6(0.9),5.5(0.8),922,8.6(0.9),8.3(0.9),920,7.3(1.0),7.2(0.9),920,8.7(0.9),8.5(0.8),916,4.4(0.7),4.4(0.7),915,7.7(0.8),7.6(0.8),917,5.4(0.7),5.4(0.8),922,6.0(0.9),6.6(0.9),917,9.2(1.1),9.7(1.0),925,7.3(0.7),7.2(0.9),916,7.3(1.0),7.7(0.9),923,7.9(1.0),8.7(1.1),919,8.4(0.9),8.4(0.9)
서울,강동구,845,12.3(1.3),12.4(1.1),919,7.1(1.0),7.1(0.9),921,7.2(0.8),7.2(0.8),919,8.1(0.9),8.2(0.9),920,5.6(0.7),5.6(0.8),927,7.4(0.9),7.4(0.8),920,10.4(1.1),10.5(1.1),919,9.2(1.1),9.1(1.0),916,8.6(1.0),8.2(0.9),916,10.8(1.0),10.7(1.0),917,6.4(0.8),6.2(0.9),920,6.7(0.8),6.6(0.9),915,5.8(0.8),5.7(0.8),917,6.4(0.9),6.3(0.8),921,7.5(0.9),6.9(0.9),919,9.5(1.1),8.9(1.0),920,8.5(0.8),7.9(0.9)
서울,강북구,903,1.9(0.6),1.7(0.4)*,919,5.3(0.7),5.4(0.8),907,6.1(1.0),6.1(0.9),923,8.0(0.9),7.9(0.9),924,7.9(1.0),7.5(0.9),928,6.0(1.0),6.4(1.0),924,9.2(1.1),9.4(1.1),919,7.2(0.8),7.1(1.0),925,7.5(0.9),7.4(0.9),920,8.6(1.0),8.6(1.0),914,5.7(0.9),5.5(0.8),914,6.4(1.0),6.3(1.0),915,6.7(0.8),6.9(1.1),915,5.5(0.8),5.6(0.9),922,4.5(0.8),4.5(0.7),917,8.4(0.8),8.8(1.1),915,6.3(0.9),6.1(1.0)
서울,강서구,921,8.7(1.2),8.7(1.0),941,11.6(1.2),11.5(1.0),917,7.1(0.9),7.0(0.8),935,7.2(1.1),7.1(0.8),923,4.2(0.6),4.0(0.6),922,6.5(1.0),6.5(1.0),921,7.6(0.9),7.1(0.9),920,6.0(0.8),5.9(0.8),918,4.6(0.7),4.5(0.7),920,7.3(0.9),7.0(0.9),916,3.6(0.7),3.6(0.7),918,5.6(0.7),5.4(0.7),915,7.1(1.0),6.8(1.0),918,8.2(1.1),8.3(0.9),917,7.2(0.9),6.6(0.8),916,9.1(0.9),8.5(0.9),918,9.2(1.1),8.5(1.0)
서울,관악구,849,7.6(0.8),7.8(0.7),900,11.6(1.2),11.7(1.1),936,6.8(0.7),7.1(0.8),928,6.0(0.8),6.2(0.8),920,4.9(0.8),4.9(0.6),922,8.4(1.0),8.7(1.0),919,8.6(1.0),8.4(0.9),918,8.6(1.0),8.5(0.9),915,6.3(0.9),6.2(0.8),915,7.5(1.0),7.3(1.0),915,3.8(0.6),3.9(0.6),916,7.0(0.9),7.1(1.0),917,4.8(0.7),4.3(0.6),919,4.3(0.6),4.2(0.7),916,8.1(1.0),8.2(1.0),918,8.9(0.9),9.2(1.0),915,10.2(1.2),10.2(1.1)
서울,광진구,830,8.8(1.0),8.9(0.9),939,9.8(1.1),9.9(1.0),918,5.0(0.8),4.9(0.7),926,4.6(0.7),4.6(0.7),919,5.0(0.7),5.1(0.7),928,7.5(0.8),7.5(0.8),919,7.5(0.8),7.6(0.9),919,10.8(1.1),10.9(1.1),917,9.5(1.0),9.4(1.0),916,10.2(1.0),9.9(0.9),916,6.5(0.9),6.2(0.8),917,6.6(0.9),6.8(0.8),921,8.0(0.9),7.6(0.9),917,7.9(1.0),7.7(0.9),918,8.4(0.9),8.0(0.9),916,10.2(0.9),10.4(1.1),917,6.8(0.8),7.1(0.9)
서울,구로구,924,11.2(1.1),11.0(1.1),900,10.0(1.2),10.4(1.1),898,5.9(0.8),5.9(0.8),921,11.1(1.0),11.4(1.1),918,8.6(1.0),8.5(0.9),921,6.4(0.8),6.4(0.8),918,6.9(0.9),6.6(0.8),918,7.8(0.9),7.8(0.9),915,5.2(0.7),5.2(0.8),919,6.0(0.9),5.9(0.9),915,5.7(0.7),5.0(0.7),916,5.8(0.9),5.3(0.8),915,6.1(1.0),5.5(0.8),915,4.8(0.8),4.7(0.8),916,7.2(0.9),6.4(0.9),915,7.6(0.9),7.3(1.0),915,5.9(0.8),6.2(1.0)
서울,금천구,"1,003",7.7(1.0),7.7(0.9),914,6.6(0.9),6.8(0.8),931,4.3(0.9),4.4(0.7),928,7.5(1.0),7.4(0.8),925,6.7(0.9),6.5(0.8),926,10.2(1.3),10.0(1.0),921,6.9(1.1),7.3(0.9),917,6.3(1.0),6.4(0.9),920,4.4(0.8),4.2(0.7),914,5.1(0.8),4.9(0.7),916,5.4(0.7),5.1(0.8),916,7.4(1.0),7.3(1.0),916,7.7(0.9),8.2(1.1),916,11.2(1.1),11.7(1.2),915,11.9(1.2),11.3(1.2),915,7.6(0.8),6.8(0.9),915,11.9(1.5),11.2(1.3)
서울,노원구,819,10.6(1.4),10.4(1.1),922,7.1(1.0),7.0(0.9),920,11.2(1.1),11.0(1.1),925,5.3(0.8),5.5(0.8),925,8.2(0.9),8.0(0.9),925,5.3(0.8),5.3(0.7),923,5.3(1.0),5.3(0.8),924,3.8(0.7),3.6(0.6),922,5.4(0.8),5.3(0.8),924,5.1(0.9),5.0(0.8),916,6.3(0.9),6.3(0.9),914,7.0(0.9),6.5(0.9),916,4.9(0.8),4.8(0.7),916,7.4(1.0),6.7(0.8),917,6.3(0.8),6.2(0.9),916,11.0(1.2),9.6(1.0),916,6.0(0.8),5.8(0.8)
서울,도봉구,996,6.5(0.8),6.7(1.0),919,9.2(1.1),9.2(1.0),918,10.6(1.3),10.4(1.0),923,8.6(0.9),8.6(1.0),919,8.3(1.0),8.0(1.0),934,6.1(0.8),5.6(0.7),923,7.0(1.0),6.4(0.9),919,9.1(0.9),9.0(1.0),915,8.6(1.0),8.6(1.1),915,6.7(0.7),6.4(0.8),915,6.0(0.7),6.0(0.9),916,4.5(0.8),4.5(0.8),915,5.5(0.8),5.8(1.0),915,7.0(0.9),7.3(1.0),915,7.5(1.0),7.5(1.1),916,11.3(1.0),11.0(1.2),915,9.3(1.1),10.4(1.3)
서울,동대문구,838,7.9(0.8),7.9(0.7),919,8.2(1.0),8.0(0.9),918,5.1(0.9),5.0(0.8),919,6.8(0.8),6.4(0.8),925,5.7(1.0),5.6(0.8),926,5.3(0.7),5.2(0.8),919,9.7(1.1),9.2(1.0),919,7.7(0.9),7.6(1.0),916,8.1(1.0),7.5(0.9),918,7.9(0.9),8.1(1.0),920,2.1(0.4),2.2(0.5),917,8.4(0.8),8.7(1.1),916,4.5(0.7),4.5(0.8),918,3.4(0.6),3.4(0.7),916,3.2(0.5),3.1(0.7),921,4.8(1.0),5.0(0.9),916,3.0(0.6),3.3(0.9)
서울,동작구,897,5.5(0.8),5.3(0.7),952,6.7(0.9),6.7(0.8),910,5.6(0.8),5.6(0.8),919,9.8(1.3),9.8(1.2),920,11.5(1.3),11.6(1.3),923,8.3(0.9),8.1(0.9),919,6.6(0.8),6.3(0.8),918,10.2(0.8),9.7(0.9),917,10.0(1.4),10.3(1.2),916,7.7(0.7),7.7(0.9),916,10.6(1.1),10.6(1.2),913,4.8(0.7),4.3(0.7),916,5.5(1.0),5.9(0.8),916,6.2(1.0),5.4(0.7),916,6.0(0.9),5.0(0.7),915,7.4(0.8),7.6(0.9),916,9.6(1.0),9.3(1.1)
서울,마포구,812,4.7(1.3),4.7(1.2)*,905,10.0(1.1),10.0(1.0),902,10.4(1.0),10.4(1.0),919,8.2(0.9),8.2(1.0),921,3.8(0.7),3.7(0.6),924,7.5(1.0),7.6(0.9),919,8.2(0.8),8.3(0.9),919,11.6(1.0),11.5(1.0),914,5.3(0.9),5.2(0.8),913,6.9(0.8),6.7(0.8),916,2.6(0.5),2.6(0.5),917,7.7(0.9),7.7(0.9),915,6.0(0.9),6.2(0.9),918,4.9(0.9),4.8(0.8),915,10.3(1.1),10.6(1.1),915,8.8(1.0),8.8(1.1),916,8.8(1.0),8.9(1.1)
서울,서대문구,827,12.9(1.2),12.6(1.2),948,9.9(1.1),9.7(1.0),916,7.2(0.8),7.0(0.8),922,7.8(0.8),7.5(0.9),927,7.9(1.0),7.6(0.9),922,7.0(0.8),6.8(0.8),923,9.9(1.1),9.7(1.0),924,9.4(1.0),8.7(1.0),918,5.4(0.7),5.3(0.8),916,4.5(0.8),4.6(0.8),915,2.9(0.6),2.5(0.5),914,6.8(0.9),6.5(0.9),920,3.9(0.8),3.9(0.7),915,11.5(1.3),11.4(1.3),916,10.2(1.1),9.7(1.1),915,10.9(1.2),10.4(1.1),915,8.5(0.9),8.6(1.1)
서울,서초구,815,8.4(1.1),8.1(1.0),924,6.1(1.0),6.1(0.8),921,7.0(1.0),7.0(0.9),920,6.0(0.8),5.9(0.8),920,5.4(0.8),5.0(0.7),927,7.9(0.9),7.8(0.9),919,10.0(1.2),9.8(1.0),920,9.3(1.0),9.0(1.0),915,8.5(1.0),8.3(0.9),917,7.9(0.8),7.9(0.9),916,5.0(0.7),5.0(0.8),916,6.5(0.9),6.7(0.9),916,6.6(1.0),6.9(0.9),920,5.5(0.9),6.0(0.9),931,7.1(0.8),7.3(0.9),921,7.7(0.8),7.5(0.9),915,7.9(0.9),7.7(1.0)
