구분,,2008,,,2009,,,2010,,,2011,,,2012,,,2013,,,2014,,,2015,,,2016,,,2017,,,2018,,,2019,,,2020,,,2021,,,2022,,,2023,,,2024,,
,,N,조율,표준화율,N,조율,표준화율,N,조율,표준화율,N,조율,표준화율,N,조율,표준화율,N,조율,표준화율,N,조율,표준화율,N,조율,표준화율,N,조율,표준화율,N,조율,표준화율,N,조율,표준화율,N,조율,표준화율,N,조율,표준화율,N,조율,표준화율,N,조율,표준화율,N,조율,표준화율,N,조율,표준화율
서울,강남구,,,,,,,,,,,,,,,,,,,,,,,,,,,,915,5.0(0.8),5.2(0.7),916,4.4(0.8),4.3(0.7),922,4.1(0.6),4.0(0.6),916,4.8(0.6),4.9(0.6),925,3.6(0.6),3.5(0.6),916,2.9(0.7),2.9(0.6),923,3.0(0.7),3.3(0.7),908,5.4(0.8),5.3(0.7)
서울,강동구,,,,,,,,,,,,,,,,,,,,,,,,,,,,916,4.9(0.8),4.7(0.7),916,5.0(0.8),4.7(0.8),911,4.1(0.6),4.4(0.7),912,3.4(0.6),3.4(0.6),917,4.4(0.8),4.3(0.7),921,3.9(0.7),3.6(0.7),919,5.3(0.9),5.5(0.9),920,3.9(0.7),3.7(0.7)
서울,강북구,,,,,,,,,,,,,,,,,,,,,,,,,,,,919,3.4(0.7),3.6(0.6),904,5.3(0.7),5.3(0.8),910,2.6(0.5),2.2(0.5),914,2.5(0.5),2.8(0.6),914,1.3(0.4),1.3(0.4)*,918,2.9(0.5),2.7(0.5),915,3.9(0.6),4.2(0.8),914,5.1(0.9),4.7(0.8)
서울,강서구,,,,,,,,,,,,,,,,,,,,,,,,,,,,920,4.7(0.8),4.4(0.7),916,3.6(0.8),3.5(0.7),907,2.8(0.6),2.6(0.5),910,3.4(0.6),3.2(0.6),917,3.5(0.6),3.8(0.7),916,3.1(0.6),3.1(0.6),916,4.4(0.7),4.4(0.7),916,5.3(0.9),4.9(0.8)
서울,관악구,,,,,,,,,,,,,,,,,,,,,,,,,,,,911,3.2(0.6),3.1(0.6),914,3.7(0.6),3.5(0.6),915,5.3(0.6),5.2(0.7),875,6.0(0.8),5.4(0.7),919,2.4(0.4),2.0(0.4),916,6.9(0.8),7.1(0.9),918,5.4(0.8),5.3(0.8),915,4.1(0.8),4.2(0.8)
서울,광진구,,,,,,,,,,,,,,,,,,,,,,,,,,,,915,3.3(0.6),3.2(0.6),908,4.4(0.8),4.4(0.7),917,2.3(0.5),2.5(0.5),921,3.1(0.6),3.0(0.6),917,3.8(0.6),3.7(0.6),918,5.0(0.7),5.3(0.8),916,4.0(0.7),4.1(0.7),917,6.2(0.7),6.3(0.8)
서울,구로구,,,,,,,,,,,,,,,,,,,,,,,,,,,,915,1.6(0.4),1.5(0.4)*,915,2.8(0.6),2.6(0.7),905,5.1(0.8),4.5(0.7),914,2.6(0.4),2.2(0.6),915,3.0(0.6),2.9(0.6),916,4.3(0.7),4.1(0.8),915,3.6(0.7),3.4(0.6),915,4.5(0.8),4.7(0.9)
서울,금천구,,,,,,,,,,,,,,,,,,,,,,,,,,,,907,3.1(0.6),2.9(0.6),913,5.0(0.7),4.5(0.7),913,4.2(0.7),3.8(0.7),915,3.8(0.7),4.0(0.7),916,6.9(1.1),7.8(1.1),912,3.6(0.7),3.3(0.6),915,3.0(0.6),2.7(0.6),915,6.7(1.0),6.2(1.0)
서울,노원구,,,,,,,,,,,,,,,,,,,,,,,,,,,,924,2.2(0.5),2.0(0.4),916,3.1(0.6),2.7(0.6),917,2.6(0.5),2.5(0.5),916,3.4(0.7),3.5(0.7),916,3.7(0.7),3.1(0.6),917,4.8(0.8),5.0(0.9),916,5.9(0.9),5.7(0.9),916,5.0(0.8),4.7(0.8)
